28, 19870204
16, 19970720
58, 19920611
09, 20000921
25, 19850615
52, 19971216
41, 19801107
02, 19840914
06, 19931010
01, 19861019
14, 19821124
77, 19950726
74, 19950604
84, 19840219
26, 19950212
91, 19800621
10, 19841120
55, 19850113
50, 19910229
13, 19801120
61, 19940321
22, 19891103
59, 19980825
44, 19980217
90, 19871111
95, 19951203
97, 19951009
11, 19950324
48, 19940805
21, 19840217
07, 19811222
43, 20000516
92, 19861010
80, 19970505
46, 19860608
30, 19801104
64, 19910914
35, 19900721
53, 19991110
71, 19960324
99, 19850414
76, 19851113
85, 20001113
20, 19941205
54, 19970316
47, 19830723
27, 19941113
56, 19880601
98, 19990702
86, 19881216
93, 19940813
45, 19811012
60, 19980921
36, 20000626
04, 19950912
34, 19900203
83, 19901204
94, 19970707
15, 19870702
12, 19910611
42, 19990321
37, 19960803
19, 19980505
67, 19880328
88, 19890329
87, 19860510
66, 19980821
51, 19850324
79, 19880223
38, 19890621
08, 19961205
05, 19930205
70, 19850211
57, 19850516
32, 19980709
18, 19861110
82, 19940720
68, 19840504
49, 19820821
89, 19820325
65, 19820222
29, 19890307
00, 19980717
72, 19851221
81, 19820114
03, 19870608
75, 19840719
31, 19800610
23, 19990111
73, 19830908
39, 19930329
62, 19921013
63, 19890301
40, 19870623
24, 19980414
17, 20001118
69, 19950817
78, 19840728
96, 19880114
33, 19960408
